Topplista,Titlar,Platform,MetaScore,UserScore,ReleaseDate,Publishers,Developers
215,Sakuna: Of Rice and Ruin,Switch,80,8.3,"November 10, 2020",XSEED Games,Edelweiss
216,Kingdom Hearts: Melody of Memory,Switch,80,7.7,"November 13, 2020",Square Enix,Square Enix
217,Bloodstained: Curse of the Moon 2,PC,80,8.0,"July 10, 2020",Inti Creates,Inti Creates
218,Sega Ages: Thunder Force AC,Switch,80,NA,"May 28, 2020",Sega,"M2, TechnoSoft"
219,DIRT 5,PlayStation 5,80,5.3,"November 12, 2020",Deep Silver,Codemasters
220,The Pathless,PC,80,7.3,"November 12, 2020",Giant Squid,Giant Squid
221,Mad Rat Dead,Switch,80,8.4,"October 30, 2020",NIS America,Nippon Ichi Software
222,ScourgeBringer,Switch,80,NA,"October 21, 2020",character(0),Flying Oak Games
223,Superliminal,PlayStation 4,80,7.1,"July 7, 2020",Pillow Castle Games,Pillow Castle Games
224,Mr. Driller: Drill Land,Switch,80,7.8,"June 25, 2020",Bandai Namco Games,Bandai Namco Games
225,Valorant,PC,80,5.1,"June 2, 2020",Riot Games,Riot Games
226,Fall Guys: Ultimate Knockout,PC,80,7.4,"August 4, 2020",Devolver Digital,Mediatonic
227,Fuser,Switch,80,8.2,"November 9, 2020",NCSOFT,Harmonix Music Systems
228,Faeria,Switch,80,7.3,"August 13, 2020",Versus Evil,Abrakam SA
229,Mega Man Zero / ZX Legacy Collection,PlayStation 4,80,8.1,"February 25, 2020",Capcom,Capcom
230,Super Bomberman R Online,Stadia,80,NA,"September 1, 2020",Konami,Konami
231,Telling Lies,Switch,80,6.4,"April 28, 2020",Annapurna Interactive,Sam Barlow
232,Shantae and the Seven Sirens,PC,80,6.1,"May 28, 2020",WayForward,WayForward
233,WRC 9 FIA World Rally Championship,PC,80,6.7,"September 3, 2020",Nacon,KT Racing
234,Superliminal,Xbox One,80,9.6,"July 7, 2020",Pillow Castle Games,Pillow Castle Games
235,Visage,PlayStation 4,80,7.9,"October 31, 2020",SadSquare Studio,SadSquare Studio
236,Paper Mario: The Origami King,Switch,80,6.9,"July 17, 2020",Nintendo,Intelligent Systems
237,I Am Dead,Switch,80,6.8,"October 8, 2020",Annapurna Interactive,Hollow Ponds and Richard Hogg
238,Call of Duty: Warzone,PC,80,3.6,"March 10, 2020",Activision,Infinity Ward
239,Total War: Three Kingdoms - Mandate of Heaven,PC,80,6.6,"January 16, 2020",Sega,Creative Assembly
240,Total War: Three Kingdoms - A World Betrayed,PC,80,5.8,"March 19, 2020",Sega,Creative Assembly
241,Pure Pool,Switch,79,NA,"November 17, 2020",Ripstone,VooFoo Studios
242,Telling Lies,PlayStation 4,79,6.0,"April 28, 2020",Annapurna Interactive,Sam Barlow
243,Wide Ocean Big Jacket,Switch,79,7.4,"February 4, 2020",Tender Claws,Turnfollow
244,Atelier Dusk Trilogy Deluxe Pack,PlayStation 4,79,6.2,"January 14, 2020",Koei Tecmo Games,Gust
245,Indivisible,Switch,79,7.4,"April 28, 2020",505 Games,Lab Zero Games
246,Shantae and the Seven Sirens,Switch,79,6.5,"May 28, 2020",WayForward,WayForward
247,Alwa's Legacy,Switch,79,8.0,"September 29, 2020",Elden Pixels,Elden Pixels
248,Bugsnax,PlayStation 4,79,7.9,"November 12, 2020","Young Horses, Inc","Young Horses, Inc"
249,Star Wars: Squadrons,PC,79,5.6,"October 1, 2020",Electronic Arts,Motive Studios
250,Hotshot Racing,Xbox One,79,7.5,"September 10, 2020",Sumo Digital,Lucky Mountain Games
251,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,Switch,79,8.0,"April 24, 2020",Bandai Namco Games,CyberConnect2
252,Planet Coaster: Console Edition,PlayStation 4,79,5.9,"November 10, 2020",Frontier Developments,Frontier Developments
253,DIRT 5,PlayStation 4,79,5.4,"November 3, 2020",Codemasters,Codemasters
254,Five Dates,PlayStation 4,79,6.1,"November 17, 2020",Wales Interactive Ltd.,Good Gate Media
255,EarthNight,PlayStation 4,79,6.8,"January 23, 2020",cleaversoft,cleaversoft
256,Stories Untold,Switch,79,8.5,"January 16, 2020",Devolver Digital,No Code
257,Hatsune Miku: Project Diva MegaMix,Switch,79,8.2,"May 15, 2020",Sega,Sega AM2
258,Project Warlock,Xbox One,79,5.8,"June 12, 2020",Crunching Koalas,Crunching Koalas
259,Pirates Outlaws,PC,79,7.7,"April 13, 2020",Fabled Game,Fabled Game
260,DOOM Eternal: The Ancient Gods Part One,PC,79,8.0,"October 20, 2020",Bethesda Softworks,id Software
261,Puyo Puyo Tetris 2,Switch,79,8.5,"December 8, 2020",Sega,Sega
262,The Walking Dead: Saints & Sinners,PlayStation 4,79,8.0,"May 5, 2020",Skydance Interactive,Skydance Interactive
263,Mortal Kombat 11: Aftermath,Xbox One,79,6.7,"May 26, 2020",Warner Bros. Interactive Entertainment,NetherRealm Studios
264,Observer: System Redux,PlayStation 5,79,8.0,"November 12, 2020",Aspyr,Bloober Team
265,Call of Duty: Warzone,Xbox One,79,4.7,"March 10, 2020",Activision,Infinity Ward
266,Murder by Numbers,PC,79,7.2,"March 6, 2020",The Irregular Corporation,Mediatonic
267,Call of Duty: Warzone,PlayStation 4,79,4.5,"March 10, 2020",Activision,Infinity Ward
268,TENS!,Switch,79,NA,"November 5, 2020",Kwalee Ltd,Kwalee Ltd
269,Resident Evil 3,PlayStation 4,79,6.5,"April 3, 2020",Capcom,"Capcom, M-Two"
270,Nioh 2: Darkness in the Capital,PlayStation 4,79,6.8,"October 15, 2020",Koei Tecmo Games,Team Ninja
271,Sniper Elite 4,Switch,79,8.2,"November 17, 2020",Rebellion,Rebellion
272,Mafia: Definitive Edition,PC,79,6.9,"September 24, 2020",2K Games,Hangar 13
273,NBA 2K21,PlayStation 5,79,3.4,"November 12, 2020",2K Games,Visual Concepts
274,Star Wars: Squadrons,PlayStation 4,79,5.7,"October 2, 2020",Electronic Arts,Motive Studios
275,The Sims 4: Snowy Escape,PC,79,4.5,"November 13, 2020",Electronic Arts,Maxis
276,PHOGS!,PlayStation 4,79,NA,"December 3, 2020",Coatsink Software,Coatsink Software
277,Foregone,Xbox One,79,NA,"October 13, 2020",Big Blue Bubble Inc.,Big Blue Bubble Inc.
278,Spellbreak,PC,79,8.1,"September 3, 2020","Proletariat, Inc.","Proletariat, Inc."
279,Fury Unleashed,PC,79,7.1,"May 8, 2020",Awesome Games Studio,Awesome Games Studio
280,Sackboy: A Big Adventure,PlayStation 5,79,9.0,"November 12, 2020",PlayStation Studios,Sumo Digital
281,Paper Beast,PlayStation 4,79,7.6,"March 24, 2020",Pixel Reef,Pixel Reef
282,Neon Abyss,Switch,79,5.2,"July 14, 2020",Veewo Games,Veewo Games
283,Wildfire,PC,79,NA,"May 25, 2020",Sneaky Bastards,Sneaky Bastards
284,Frostpunk: The Last Autumn,PC,79,7.9,"January 21, 2020",11 bit studios,11 bit studios
285,Wasteland 3,PlayStation 4,79,6.8,"August 28, 2020",InXile Entertainment,InXile Entertainment
